State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Bihar,Bhagalpur,"Bihpur APMC","Pointed gourd(Parval)",Other,Medium,22/09/2026,3200,3200,3200
Keralam,Idukki,"Munnar Market",Colacasia,Colacasia,Medium,22/09/2026,6000,6000,6000
Punjab,Mohali,"Lalru APMC",Spinach,Other,Local,22/09/2026,2600,2600,2600
"Andhra Pradesh",Kakinada,"Kakinada (Urban) APMC",Paddy(Common),Common,FAQ,22/09/2026,2369,2450,2440
"Andhra Pradesh",Tirupathi,"Vakadu APMC",Paddy(Common),"B P T",Local,22/09/2026,2389,2410,2400
"Andhra Pradesh",Kakinada,"Sampara (Kakinada Rural) APMC",Paddy(Common),1001,FAQ,22/09/2026,2369,2389,2379
"Andhra Pradesh",Kakinada,"Samalkot APMC",Paddy(Common),Paddy,FAQ,22/09/2026,2339,2345,2340
"Andhra Pradesh",Polavaram,"Rampachodvaram APMC",Paddy(Common),1001,"Grade Range-2",22/09/2026,2369,2389,2379
"Andhra Pradesh",Ananthapuramu,"Gooti APMC",Groundnut,Local,"Grade Range-1",22/09/2026,3899,7699,6499
"Andhra Pradesh",Ananthapuramu,"Singanamala APMC",Groundnut,Local,"Grade Range-1",22/09/2026,6600,7800,7200
"Andhra Pradesh",Prakasam,"Darsi APMC",Cotton,Desi,Local,22/09/2026,8100,8200,8200
"Andhra Pradesh",Ananthapuramu,"Gooti APMC",Cotton,Bramha,"Grade Range-1",22/09/2026,5000,9901,9579
Keralam,Idukki,"Kattappana Market",Apple,Other,Small,22/09/2026,21000,23500,22000
Haryana,Gurgaon,"Gurgaon APMC",Banana,Other,"Grade B",22/09/2026,2000,4000,3000
Uttarakhand,Haridwar,"Roorkee APMC",Banana,Other,Medium,22/09/2026,800,1200,1000
Keralam,Idukki,"Kattappana Market",Banana,"Nendra Bale",Medium,22/09/2026,6400,7000,6500
Uttarakhand,Haridwar,"Roorkee APMC",Onion,Other,Medium,22/09/2026,3000,4500,4000
Keralam,Idukki,"Kattappana Market",Onion,Big,Medium,22/09/2026,5500,6000,5800
"Himachal Pradesh",Kangra,"SMY Baijnath",Potato,Desi,"Grade A",22/09/2026,2000,2100,2000
"Andhra Pradesh",Palnadu,"Gurazala APMC","Chili Red",Red,"Grade Range-1",22/09/2026,18000,28500,25200
Uttarakhand,Haridwar,"Roorkee APMC",Cauliflower,Other,Local,22/09/2026,1200,1600,1400
Bihar,Madhubani,"Madhubani APMC",Brinjal,Brinjal,FAQ,22/09/2026,3300,3500,3400
