State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Keralam,Idukki,"Kattappana Market",Pumpkin,Other,Medium,22/09/2026,2100,2400,2300
Telangana,Siddipet,"Vantamamidi APMC",Pumpkin,Pumpkin,Local,22/09/2026,500,500,500
Keralam,Alappuzha,"Harippad Market",Amaranthus,Other,FAQ,22/09/2026,5000,5500,5000
Maharashtra,Ratnagiri,"APMC Ratnagiri (Nachane) ","Chilly Capsicum",Other,Local,22/09/2026,2000,3000,2500
Keralam,Alappuzha,"Harippad Market","Banana - Green",Other,FAQ,22/09/2026,5500,6000,5500
"Himachal Pradesh",Kangra,"SMY Baijnath",Ginger(Green),"Green Ginger","Grade A",22/09/2026,8000,10000,9000
Keralam,Idukki,"Kattappana Market","Sweet Potato",Other,Medium,22/09/2026,5500,6000,5800
Keralam,Alappuzha,"Harippad Market",Carrot,Other,FAQ,22/09/2026,5500,6000,5500
"Himachal Pradesh",Kangra,"SMY Baijnath",Carrot,Carrot,"Grade A",22/09/2026,2400,3200,3000
Keralam,Idukki,"Kattappana Market",Carrot,Other,Medium,22/09/2026,7000,7800,7500
Haryana,Gurgaon,"Gurgaon APMC",Cabbage,Other,"Grade A",22/09/2026,1000,1500,1250
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Cabbage,Other,"Grade A",22/09/2026,1500,2500,2000
"Himachal Pradesh",Kangra,"SMY Baijnath",Cabbage,Cabbage,"Grade A",22/09/2026,2000,2500,2100
Telangana,Siddipet,"Vantamamidi APMC",Cabbage,Cabbage,Local,22/09/2026,700,1000,850
Punjab,Mohali,"Lalru APMC",Cucumbar(Kheera),Other,Local,22/09/2026,2600,2600,2600
Uttarakhand,Haridwar,"Roorkee APMC",Cucumbar(Kheera),Other,Local,22/09/2026,800,1200,1000
Keralam,Idukki,"Kattappana Market",Cucumbar(Kheera),Other,Medium,22/09/2026,3000,3600,3400
"Himachal Pradesh",Kangra,"SMY Baijnath",Raddish,Other,"Grade B",22/09/2026,2400,2500,2500
Keralam,Idukki,"Kattappana Market",Capsicum,Other,Medium,22/09/2026,7500,8000,7800
Haryana,Gurgaon,"Gurgaon APMC",Guava,Other,"Grade A",22/09/2026,5000,7000,6000
"Himachal Pradesh",Kangra,"SMY Baijnath",Pomegranate,Pomogranate,"Grade B",22/09/2026,6000,12000,12000
"Andhra Pradesh","Sri Sathya Sai","Tenakallu APMC","Tamarind Fruit",Other,Local,22/09/2026,11000,20200,16400
Punjab,Mohali,"Lalru APMC","French Beans(Frasbean)","French Beans (Frasbean)",Local,22/09/2026,5500,5500,5500
Bihar,"East Champaran/ Motihari","Raxaul APMC","Pointed gourd(Parval)",Other,"Grade A",22/09/2026,2750,2950,2850
"Himachal Pradesh",Kangra,"SMY Baijnath",Spinach,Spinach,"Grade A",22/09/2026,4500,4700,4500
Telangana,Siddipet,"Vantamamidi APMC","Onion Green","Onion Green",Local,22/09/2026,3500,3500,3500
"Andhra Pradesh",Kakinada,"Peddapuram APMC",Paddy(Common),1001,FAQ,22/09/2026,2369,2400,2390
"Andhra Pradesh",Prakasam,"Darsi APMC",Paddy(Common),"B P T",Local,22/09/2026,2500,2600,2600
"Andhra Pradesh",Srikakulam,"Hiramandalam APMC",Paddy(Common),Masuri,Local,22/09/2026,2400,2400,2400
"Andhra Pradesh",Srikakulam,"Kothabommali APMC",Paddy(Common),Paddy,Local,22/09/2026,3200,3200,3200
"Andhra Pradesh",Prakasam,"Maddipadu APMC",Paddy(Common),"B P T",FAQ,22/09/2026,2800,2800,2800
"Andhra Pradesh",Kakinada,"Pithapuram APMC",Paddy(Common),"B P T",FAQ,22/09/2026,2369,2389,2379
"Andhra Pradesh",Kakinada,"Karapa APMC",Paddy(Common),1001,FAQ,22/09/2026,2363,2369,2365
"Andhra Pradesh","East Godavari","Mandapeta APMC",Paddy(Common),1001,FAQ,22/09/2026,2369,2400,2389
"Andhra Pradesh",Markapuram,"Giddalur APMC","Bengal Gram(Gram)(Whole)",Other,FAQ,22/09/2026,5900,6050,6000
Haryana,Gurgaon,"Gurgaon APMC",Apple,Apple,"Grade B",22/09/2026,5000,7000,6000
"Himachal Pradesh",Kangra,"SMY Baijnath",Apple,Apple,"Grade B",22/09/2026,6000,12000,8000
Keralam,Idukki,"Kattappana Market",Apple,Other,Medium,22/09/2026,32000,33000,33000
Keralam,Idukki,"Kattappana Market",Apple,Other,"Grade C",22/09/2026,12000,13600,13000
"Andhra Pradesh","YSR Kadapa","Siddavatam APMC",Banana,Medium,"Grade B",22/09/2026,1500,1700,1600
"Himachal Pradesh",Kangra,"SMY Baijnath",Banana,"Banana - Ripe","Grade B",22/09/2026,3700,4000,3800
Bihar,Madhubani,"Madhubani APMC",Onion,Nasik,FAQ,22/09/2026,4500,4700,4600
Uttarakhand,Haridwar,"Roorkee APMC",Potato,Other,Medium,22/09/2026,800,1200,1000
Keralam,Idukki,"Kattappana Market",Potato,Other,Medium,22/09/2026,3000,3500,3500
"Andhra Pradesh",Palnadu,"Gurazala APMC","Chili Red",Red,Local,22/09/2026,15800,23200,20500
"Andhra Pradesh","Alluri Sitharama Raju","Araku Valley APMC",Ginger(Dry),Ginger-Organic,"Grade Range-1",22/09/2026,13000,13000,13000
Bihar,Madhubani,"Madhubani APMC",Cauliflower,Cauliflower,FAQ,22/09/2026,8000,8500,8200
"Himachal Pradesh",Kangra,"SMY Baijnath",Cauliflower,Cauliflower,"Grade A",22/09/2026,4000,5500,4500
Punjab,Mohali,"Lalru APMC",Brinjal,Other,Local,22/09/2026,2700,2700,2700
Keralam,Alappuzha,"Harippad Market",Brinjal,Brinjal,FAQ,22/09/2026,4500,5000,4500
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Brinjal,Brinjal,"Grade A",22/09/2026,900,1500,1000
Telangana,Siddipet,"Vantamamidi APMC",Brinjal,Brinjal,Local,22/09/2026,1000,1800,1400
"Andhra Pradesh",Kakinada,"Tuni APMC",Cashewnuts,Local(Raw),FAQ,22/09/2026,13000,13000,13000
Keralam,Idukki,"Munnar Market",Coriander(Leaves),Coriander,Medium,22/09/2026,8000,8000,8000
"Andhra Pradesh",Ananthapuramu,"Gooti APMC","Red gram/Arhar/Tur(whole)",Local,"Grade Range-1",22/09/2026,4579,7468,6689
Bihar,Madhubani,"Madhubani APMC",Tomato,Tomato,FAQ,22/09/2026,3600,3800,3700
Odisha,Kalahandi,"Bhawanipatna APMC",Tomato,Tomato,Local,22/09/2026,3500,3500,3500
Maharashtra,Ratnagiri,"APMC Ratnagiri (Nachane) ","Bitter gourd",Other,Local,22/09/2026,2000,3000,2500
Keralam,Idukki,"Kattappana Market","Bitter gourd",Other,Medium,22/09/2026,4200,4500,4400
Telangana,Siddipet,"Vantamamidi APMC","Bitter gourd","Bitter Gourd",Local,22/09/2026,1500,1500,1500
Keralam,Alappuzha,"Harippad Market",Ashgourd,Other,FAQ,22/09/2026,4000,4500,4000
Keralam,Idukki,"Munnar Market","Bhindi(Ladies Finger)",Other,Medium,22/09/2026,6000,6000,6000
Keralam,Alappuzha,"Harippad Market","Bhindi(Ladies Finger)",Other,FAQ,22/09/2026,4500,5000,4500
Bihar,"East Champaran/ Motihari","Raxaul APMC","Bhindi(Ladies Finger)",Bhindi,"Grade A",22/09/2026,800,1000,900
Keralam,Idukki,"Kattappana Market",Amaranthus,Other,Medium,22/09/2026,2800,3500,3200
Punjab,Amritsar,"Rayya APMC","Green Chilli","Green Chilly",FAQ,22/09/2026,1060,1060,1060
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC","Green Chilli","Green Chilly","Grade A",22/09/2026,2000,3500,2500
Keralam,Idukki,"Munnar Market",Cowpea(Veg),Other,Medium,22/09/2026,6500,6500,6500
Keralam,Idukki,"Kattappana Market","Banana - Green",Other,Medium,22/09/2026,6400,6800,6800
Keralam,Idukki,"Kattappana Market",Ginger(Green),Other,Medium,22/09/2026,12000,14000,14000
Keralam,Idukki,"Kattappana Market",Snakeguard,Other,Medium,22/09/2026,4000,4500,4200
Keralam,Idukki,"Munnar Market",Cucumbar(Kheera),Cucumbar,Medium,22/09/2026,4600,4600,4600
Punjab,Amritsar,"Rayya APMC",Raddish,Other,FAQ,22/09/2026,2060,2060,2060
"Andhra Pradesh","Alluri Sitharama Raju","Araku Valley APMC",Millets,Millets,"Grade Range-1",22/09/2026,3500,3500,3500
"Andhra Pradesh","Sri Sathya Sai","Kadiri APMC","Tamarind Fruit",Other,Local,22/09/2026,16400,20200,18400
Telangana,Siddipet,"Vantamamidi APMC","Groundnut pods(raw)","Groundnut pods (raw)",Local,22/09/2026,4000,4000,4000
Keralam,Idukki,"Kattappana Market",Colacasia,Other,Medium,22/09/2026,5500,6000,5800
Keralam,Idukki,"Kattappana Market","Amla(Nelli Kai)",Other,Medium,22/09/2026,3800,4500,4000
"Andhra Pradesh","West Godavari","Attili APMC",Paddy(Common),Paddy,Local,22/09/2026,2369,2389,2369
"Andhra Pradesh",Dr.B.R.A.Konaseema,"Ramachandrapuram APMC",Paddy(Common),Paddy,FAQ,22/09/2026,2441,2448,2441
"Andhra Pradesh",Srikakulam,"Srikakulam APMC",Paddy(Common),1001,FAQ,22/09/2026,2400,2400,2400
"Andhra Pradesh",Srikakulam,"Etcherla APMC",Paddy(Common),1121,FAQ,22/09/2026,2369,2369,2369
"Andhra Pradesh",Palnadu,"Rompicherla APMC",Paddy(Common),Paddy,FAQ,22/09/2026,2400,2500,2500
"Andhra Pradesh","Alluri Sitharama Raju","Chintapally APMC",Maize,Local,FAQ,22/09/2026,2300,2500,2400
"Andhra Pradesh",Srikakulam,"Hiramandalam APMC",Maize,Medium,Local,22/09/2026,2200,2200,2200
"Andhra Pradesh",Srikakulam,"Etcherla APMC",Maize,"Deshi White",Local,22/09/2026,2400,2400,2400
"Andhra Pradesh",Prakasam,"Maddipadu APMC","Bengal Gram(Gram)(Whole)",Gulabi,FAQ,22/09/2026,6000,6000,6000
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Apple,Other,"Grade A",22/09/2026,5000,10000,8000
Keralam,Idukki,"Kattappana Market",Banana,Robusta,Medium,22/09/2026,2100,2400,2300
Punjab,Mohali,"Lalru APMC",Onion,Other,Local,22/09/2026,4500,4500,4500
Bihar,"East Champaran/ Motihari","Raxaul APMC",Onion,"1st Sort","Grade A",22/09/2026,4300,4500,4400
Bihar,Madhubani,"Madhubani APMC",Potato,Red,FAQ,22/09/2026,1050,1200,1100
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Potato,Other,"Grade A",22/09/2026,500,600,550
Bihar,"East Champaran/ Motihari","Raxaul APMC",Potato,"Red Nanital","Grade A",22/09/2026,1400,1600,1500
"Uttar Pradesh","Jalaun (Orai)","Konch APMC",Cauliflower,Cauliflower,FAQ,22/09/2026,2900,3100,3000
Odisha,Kalahandi,"Bhawanipatna APMC",Brinjal,Brinjal,Local,22/09/2026,3000,3000,3000
Maharashtra,Ratnagiri,"APMC Ratnagiri (Nachane) ",Brinjal,Other,Local,22/09/2026,2000,2500,2200
Keralam,Idukki,"Munnar Market",Brinjal,Other,Medium,22/09/2026,5000,5000,5000
"Himachal Pradesh",Kangra,"SMY Baijnath",Brinjal,Brinjal,"Grade A",22/09/2026,2700,2900,2800
"Andhra Pradesh","YSR Kadapa","Siddavatam APMC",Papaya,Papaya,"Grade B",22/09/2026,1300,1500,1400
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Papaya,Papaya,"Grade A",22/09/2026,2500,3500,3000
"Himachal Pradesh",Kangra,"SMY Baijnath",Papaya,Other,"Grade A",22/09/2026,4700,4800,4700
Maharashtra,Ratnagiri,"APMC Ratnagiri (Nachane) ",Tomato,Other,Local,22/09/2026,1000,1600,1200
Haryana,Sirsa,"Rania APMC",Tomato,Tomato,Non-FAQ,22/09/2026,1.32,1.48,1.38
Haryana,Sirsa,"Rania(Jiwan nagar) APMC",Tomato,Deshi,Non-FAQ,22/09/2026,30,47,35
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Tomato,Other,"Grade A",22/09/2026,2000,2700,2500
"Himachal Pradesh",Kangra,"SMY Baijnath",Tomato,Hybrid,"Grade A",22/09/2026,2400,2500,2500
Haryana,Gurgaon,"Gurgaon APMC","Bitter gourd",Other,"Grade B",22/09/2026,1500,2000,1750
Bihar,"East Champaran/ Motihari","Raxaul APMC","Bitter gourd","Bitter Gourd","Grade A",22/09/2026,1200,1400,1300
Keralam,Alappuzha,"Harippad Market","Bottle gourd",Other,FAQ,22/09/2026,2200,2700,2200
"Himachal Pradesh",Kangra,"SMY Baijnath","Bottle gourd","Bottle Gourd","Grade B",22/09/2026,2700,3200,3000
Keralam,Idukki,"Munnar Market",Ashgourd,Other,Medium,22/09/2026,4000,4000,4000
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Pumpkin,Other,"Grade A",22/09/2026,1000,1500,1200
Bihar,Madhubani,"Madhubani APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,22/09/2026,1200,1400,1300
Punjab,Amritsar,"Rayya APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,22/09/2026,670,670,670
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC","Bhindi(Ladies Finger)",Bhindi,"Grade A",22/09/2026,2500,3500,3000
"Himachal Pradesh",Kangra,"SMY Baijnath","Bhindi(Ladies Finger)",Bhindi,"Grade A",22/09/2026,2800,3300,3200
Maharashtra,Ratnagiri,"APMC Ratnagiri (Nachane) ","Green Chilli",Other,Local,22/09/2026,2000,3500,3000
Keralam,Idukki,"Kattappana Market","Green Chilli",Other,Medium,22/09/2026,6000,7000,6500
